A,$x_0$,w,$\sigma$(A),$\sigma$($x_0$),$\sigma$(w)
30984.8177635215,39466.7246250544,0.060491686674029085,3465.446387705233,0.007812291686789624,0.007812214938413277
37729.50181091823,39431.328094928336,0.08397878293258887,2935.590100653908,0.007544927612620546,0.007544881449218086
41492.640084558916,39321.48331943094,0.06741763713363964,3583.0002602052073,0.006722356840208025,0.006722288042373982
202875.57186419299,39309.933651425825,0.08603764027143411,6802.987773574883,0.0033314207574649582,0.003331401458926392
51729.478495711395,39152.11496582032,0.14999999999999997,5257.1181590517535,0.03109244406441453,0.03094683695016182
288307.02399280376,39151.8302981814,0.0701341337477895,10593.63152936508,0.0028379743495393944,0.0029056858809134592
123777.71411388142,39039.996213066464,0.04509789331718662,4307.168877795283,0.0017972079279250496,0.001826842350219041
52422.71929130773,39007.728674316415,0.14999999999999997,5974.7049251046155,0.0222234365529185,0.024449668937370314
385225.33043165243,39007.24851923499,0.1114294628490061,7790.290889236957,0.006484451380795756,0.006232186195805154
82258.45410292131,39006.97499999999,0.08937173779541706,36245.45205238063,0.04588758325830915,0.046522453737422295
52528.80680715229,39006.749069395875,0.10673114261309742,21638.861578096625,0.09308431740885849,0.09106207352391862
36109.78184132209,39006.393530273446,0.14999999999999997,6397.523932985039,0.07407454964067886,0.061856601380648364
31429.034512887538,39004.638497924796,0.14999999999999997,6859.930476222196,0.05857465072435831,0.06071816626373638
28159.37742902103,39004.33660755916,0.06632097606573067,44116.99248748463,0.1072214717253683,0.08060737438292953
56116.34861654087,39004.126819276404,0.09794117913151,9636.344505371708,0.058052858316938724,0.16226073854436301
60333.29801617017,39003.9450015963,0.05785654126155202,62515.52561118589,0.04056475939329176,0.0348466718372173
326472.98754862056,39003.678863301386,0.11172028564968624,8037.216168282514,0.00433863962083851,0.006056467578039567
46532.02848328597,39003.25567016601,0.14999999999999997,6778.936303853347,0.03418187685597749,0.0364211885984833
61169.7496573005,38946.04474869423,0.0820543559000835,3220.8761383637166,0.004992223070950492,0.00503014450524682
39943.18061950331,38945.63307256668,0.08675442591902965,3132.8512913809855,0.007859702095887567,0.007922063139562218
25132.906080456698,38917.75876770019,0.14999999999999997,22863.55437043277,0.3477939015692266,0.19952745456125956
32728.63879719179,38917.49696724872,0.10346378480433092,76873.50553295393,0.1546194909454723,0.1862324132194221
104706.13064067495,38917.17729797364,0.14030704754471252,22983.32648103957,0.08288799137411207,0.1683801495963494
442874.0935775759,38916.90135478073,0.10439151121859988,91980.41485743059,0.01762289039072275,0.013855473256051107
82043.72150098422,38916.51899108886,0.14999999999999997,8487.467585006785,0.045239266715458505,0.09291253457733462
31447.481256311778,38916.191977019815,0.10043918619821768,62120.62771632044,0.13025368242600185,0.1552708018525913
40562.253026129736,38915.903563685104,0.14999999999999997,11275.57189953755,0.17787984186826042,0.2173470594162724
32413.177065619893,38915.64611649122,0.04000000000000001,26176.419135014705,0.03094036297197959,0.035764653353365566
24076.849003113202,38915.49747011359,0.05737073481257756,25855.504781863157,0.050481159299018814,0.07344392018039168
30478.607306035465,38915.22704719133,0.14999999999999997,10434.223177071226,0.14864309522347185,0.23341063133711842
27127.26235660333,38914.80237731933,0.14999999999999997,27991.888109836018,0.27236297238110374,0.4170861387082439
43688.89646888885,38914.427121568326,0.14528022282693615,25464.455089557534,0.15201961258301966,0.28077513770817397
52618.17735974625,38914.12699562956,0.0931398867245253,47936.336759055994,0.06493152193333097,0.07772430400045524
109551.17383585936,38913.7917541504,0.13624973406778454,16297.890728645556,0.06776045958898744,0.09440052751282778
408140.8492195426,38913.50591703691,0.10771766145534463,53319.83829414475,0.014984354681932592,0.013360037885033184
64480.077653631706,38913.133447265616,0.14487240740449991,9404.367652344938,0.05049022247816807,0.08891970656090735
19599.748644926138,38912.74271240235,0.14999999999999997,11443.908668528768,0.2256884483919128,0.15920178739318494
58511.82906651208,38823.10039870603,0.06615440356973991,3699.8686050333786,0.00483030117942626,0.004830236829122008
23404.224570320286,38768.904404567395,0.06711447736654788,4073.796189314056,0.013489411466989776,0.013489311500800762
112546.72236711193,38758.25613042731,0.0540223538858828,4524.706262604265,0.0029044577092215374,0.0031129907153490755
51934.909369489,38758.07153952966,0.05188765602531911,4594.425962906666,0.00618363368781779,0.006545232750567705
43252.62790182056,38714.664556884774,0.14999999999999997,4474.80886713415,0.029850409744515437,0.02917821449231603
232935.04140310097,38714.24376404453,0.12914533587504715,4864.171495064815,0.004921894030991802,0.006219845808913074
40435.031705329304,38713.78236545866,0.14999999999999977,4474.630978724711,0.02550254382232771,0.026901104340620995
70877.80765393848,38678.747538295844,0.07562319033659912,3084.4533679986307,0.0038000947016643685,0.003800067145927202
105278.61733131587,38582.32657984733,0.058829229911123083,4127.592320445144,0.002682680134717078,0.002798020477326555
33731.661310879645,38582.119633191,0.04000000000000001,4951.606796158718,0.006959406923910497,0.00706335462231639
38285.94147913137,38569.91634876718,0.0400000000000078,5882.731989866288,0.006977328347970942,0.0072018602401777276
32078.187741800182,38569.44476444907,0.045713227861284414,4008.1457864854824,0.007894228459118403,0.009470279628956937
35520.0663812421,38512.06628427088,0.07261828386076873,2996.4927018770118,0.007073870465180422,0.007073814615454555
39444.689517746534,38506.02244605229,0.09174430704234095,2551.5117210359685,0.006852656318575382,0.0068526228286103896
102157.07745810432,38472.192848784114,0.0862058453377521,6207.484760664362,0.0060485606377132,0.006049090621142538
140845.1111647467,38471.59338291695,0.10847811800986645,6783.554127731813,0.00912716383978343,0.007718339683133574
26022.74355886741,38471.23918762208,0.14999999999999997,4866.467310623867,0.06220239569400591,0.058179228307881865
52838.48446881492,38466.42030924602,0.09499442677112321,3081.8649243912478,0.006397820891115924,0.006397791773538368
42996.31369119966,38446.014501953134,0.14999999999999997,3230.7275067639175,0.02157225965864718,0.021956084736277158
