A,$x_0$,w,$\sigma$(A),$\sigma$($x_0$),$\sigma$(w)
28144.932475823323,36990.017745291,0.0896928890832596,1513.845457029989,0.005723490237715639,0.00583305984416156
11170.678990566106,36989.517802580085,0.14999999990583554,1182.997533572625,0.01847042819285302,0.019329541459713002
356645.27582661534,36960.17764769146,0.10410415244712928,1478.2064894659807,0.0004982382654625595,0.0004982365221067594
28305.456006647313,36765.34374767561,0.08631813289774182,2133.4666821587057,0.007512571035621785,0.007512533212140218
105234.17187368467,36351.61491554151,0.11214650031688533,1455.9782190385483,0.0017916535852066885,0.0017916483601215232
90221.35348790066,36342.681376742206,0.10414279464581369,1359.1630951361035,0.0018115979691668033,0.0018115918466216708
13719.406993208535,36020.91016353541,0.05350274863704188,1445.1484319379722,0.006639739284081991,0.00682183824725121
27729.68094288829,36020.64857005971,0.07060825488639613,1265.269435802523,0.003752390179735406,0.003909762297740887
89332.47527405397,35928.49490906352,0.1132599874603119,935.7811225907375,0.0013699717531464885,0.0013699679272304417
34115.863861210506,35880.767775155764,0.10778148917456153,922.995713486419,0.00424848879241507,0.004491076829246334
38717.9372750753,35880.41997911912,0.10229405913585617,941.8845556444717,0.0036589859617861013,0.003799476034706388
33245.82944394156,35852.806847514694,0.11073721839059011,825.4943323370463,0.0031749782771047473,0.003174969042636545
502168.663246367,35839.99018745078,0.10305524487238535,957.4945066300943,0.00022689615629501768,0.0002268953946673502
75997.42834444101,35804.26981584077,0.10612924265876729,768.945205677136,0.001239943392709925,0.0012399394771086447
10031.088569538853,35710.720846989374,0.14353814399205994,739.9504162776205,0.012226207344322384,0.012226186335827345
22865.476398595176,35666.33296362036,0.08774717056747423,915.8449562546925,0.0040583129414908286,0.00405829455445033
8480.649807429005,35665.79620532568,0.05418836144741631,1165.8114437885333,0.008598220644075609,0.008605628516030922
14216.491040041754,35644.52708779526,0.0788844934224336,982.6471104994221,0.0062960451723750215,0.00629600950941116
16540.649420275524,35568.30947487087,0.10174700446453318,867.5258059703375,0.006161232681287214,0.006180111871546309
9776.106647701414,35567.80515443116,0.09266228159273127,908.9621227498405,0.009949187031770283,0.009977309588202707
21971.326786773145,35561.830664090136,0.13847667372464345,871.2884707572496,0.006340319769282098,0.006345515571885169
82055.72121659925,35561.12782469897,0.11414833806781798,959.6117424161386,0.0015414356626852247,0.0015425385130983542
29465.201757448976,35460.08161021124,0.1154474723882994,856.5060396801299,0.00387503454793199,0.0038750244019938687
20749.22202709425,35336.10960876033,0.0940056022205693,900.3907054292537,0.0047103528418878104,0.004710334372927959
6919.279498111084,35096.08655903429,0.14999999999063093,919.4239841010145,0.02301526662134556,0.02301523165924907
11028.757676130515,34560.004456501774,0.08544554984313935,1270.9742790135317,0.011370257906648763,0.011370206291313993
9681.135039135737,34533.86505885771,0.08590445628251266,1241.976213414454,0.012725456740004927,0.012725399661327559
72786.61135861551,34390.36898752564,0.09587124404567364,2119.231316323324,0.007285327076022632,0.005281207100954665
64049.85846006031,34390.14248282904,0.08835499529443454,2610.1662180293415,0.007647093094929879,0.0052937693914062965
10879.846269657783,34133.132957413756,0.11502709223088925,1060.8234466489162,0.012950620669422328,0.012950589008099095
13738.879393723078,34131.105078376306,0.058547962392398595,1009.1207271329639,0.005280266289535472,0.005472250236581918
27578.99110671949,34130.835616030854,0.08126486089406908,868.9813038171569,0.003059044762511769,0.0032873023192755077
