A,$x_0$,w,$\sigma$(A),$\sigma$($x_0$),$\sigma$(w)
67036.60070250943,38917.064237276965,0.04000000000000001,3193.0556871772187,0.0022912081942099505,0.002612304964486839
230132.11897508666,38916.88183508758,0.05886663768280837,2587.0546401105526,0.0008127467205091659,0.0008871791013174921
57421.474419067,38913.663431431654,0.04000000000000001,2912.3589954478252,0.0026680405091074077,0.0026853656698644754
206358.3507270331,38913.480035531815,0.060713263433729535,2436.897278545964,0.0008849554059280761,0.0009721511873562333
15112.041625266731,38851.17871119598,0.0835538853764001,1938.0613113845673,0.012373203230996024,0.012373128977172874
35537.07312223501,38823.12173737563,0.06969082772733672,2328.2916391805707,0.005338180092195349,0.005616482259422627
16568.157772089384,38822.87567259246,0.05016241755089516,2719.2358315808556,0.009793638909244482,0.010075356645162653
14689.47920424749,38800.39232272031,0.07081046614343701,2234.587260478276,0.012438275589802301,0.012438172055055893
61921.54665348106,38758.2580241451,0.0665965291348969,2445.6781824875793,0.004379889810618674,0.004487419378813666
33022.81887508114,38758.061638758845,0.05972707710280506,2568.4845270418364,0.007795325773958558,0.007640946025428202
120672.88618338226,38714.20313586776,0.06221207577626347,2722.2687708686194,0.0016205752703577071,0.0016205514534402797
46927.96756382984,38678.708571771946,0.09350145029850278,1499.700953605482,0.003450341091623873,0.003450324705481812
16486.381969627248,38658.83132413079,0.09073477495621621,1743.653769670485,0.011081014136229328,0.011080958288004653
57964.935374925815,38582.28513631321,0.08976725781268567,1828.9245956035434,0.003270538557373536,0.0032705217913108855
16750.118380907094,38569.926413534624,0.04964314807321676,2797.7001894042232,0.009553549759399644,0.009597928744491092
15048.256355878078,38569.44723917191,0.05999251550702988,2208.5209469818265,0.01809441719092571,0.018588665529369736
18953.938882104077,38512.07954289995,0.06620724790168482,2003.5888200299337,0.008081393727500785,0.008081340813940786
22009.71209045628,38506.01387794234,0.054637900089111055,1841.554073901444,0.005279541262760438,0.0052778588095409576
66889.85479029674,38472.167871751866,0.06725697172648755,1975.7152203640603,0.002293892883335381,0.0022938760860355305
57546.345587574484,38471.58770100426,0.09229893307711289,1686.5218117096201,0.003123501038521287,0.0031234866253412623
35790.22764735558,38466.391528460466,0.06718218978060742,1805.490361812723,0.003913424124014562,0.003913387990140109
247340.86875965045,38445.60398086673,0.10399676252923239,2329.5211538834574,0.001130996027391928,0.0011309917373360909
34201.18340351704,38328.168324292645,0.06936232845594767,1836.0290428908754,0.004299656871812703,0.0042996234707934
36660.75308517298,38289.939924465805,0.07179849952164852,1606.3237762833344,0.0036326098547724258,0.0036325810473348615
84545.62563311358,38239.279654938524,0.0855814000165042,1636.3953205403548,0.001912702677798698,0.0019126920795239457
19644.865374000314,38164.31402617581,0.05075105637722128,2184.402013945855,0.006518332800735174,0.006513875084798593
12489.723901333116,38091.529944845475,0.06561955528397471,1722.8042925974726,0.010451747072995506,0.01045162590087702
14182.739778574038,37971.16291333568,0.05296995266932197,2276.9567363674823,0.012565562546765587,0.012807192326338788
16453.16953502955,37970.969219691375,0.06458831301065997,2095.644027153862,0.011841351167026462,0.012712811543286188
25304.58715998044,37574.37089234662,0.045668082478911444,2292.888240124349,0.004865815953097381,0.005065095170521663
30040.786001208053,37574.189527114846,0.041529692701968254,2452.1165541548894,0.0038765555782403734,0.004239103358239403
42165.308861317455,37573.620194300885,0.07545640357266667,1840.154202784976,0.003802475365396825,0.0038024493684844156
32614.73523279069,37517.99078885667,0.06536863495629497,1866.0513596490077,0.004318686855799255,0.004318634724491452
15534.045684375727,37517.502539859284,0.04573480548604073,2242.909809632099,0.0075724692207871005,0.007678356244618063
16986.400924962792,37479.438916680774,0.06819211055753714,1986.1693046365335,0.009207054570911019,0.009206984186853381
16487.43121779841,37464.188722702274,0.05654008764815364,1952.5602704253179,0.007730681603753388,0.007733157848582121
20115.466017779498,37170.933877317264,0.08817206214203166,2275.8999381283184,0.011519267865495496,0.011519211046266449
62740.97006203509,37122.01525683055,0.059293552320299966,2703.3152014444017,0.0029499332034403996,0.002950112977722712
34300.46150599032,37121.43098647165,0.07723193220778853,2368.580886296548,0.006158237053042614,0.0061581975994178355
47186.815018109846,36990.00516408904,0.06491894634915496,2194.353335729469,0.0034860204892146374,0.003485977839248616
21903.264035603304,36989.56229203124,0.05454241044617506,2393.518303195084,0.006884088706926904,0.006880051705734126
611621.9335979457,36960.17794788987,0.07680302469524489,2240.574449988734,0.00032488218686520205,0.00032488010075922604
47528.32312013215,36765.349827676146,0.0686534457688082,2590.897512603532,0.004321221061231233,0.004325252909413001
